"Index","England_n_Wales","England","East of England","West Midlands","South West","North West","Yorkshire and The Humber","South East","London","North East","Wales","East Midlands"
Sep 2000,1.51370719041227,1.52356764956669,1.64412039312616,1.39690433020362,1.61564836856565,1.26792321759963,1.23143902233739,1.74692675328435,1.8846985529517,1.19164728457456,1.29653730493558,1.3903379853106
Oct 2000,1.52225607880882,1.53224612682933,1.64363835163294,1.40980119496194,1.62819063394858,1.28481728089169,1.23839133718665,1.75071935674376,1.88874985650477,1.20015105936828,1.29776280712831,1.38612463713835
Nov 2000,1.52856837370711,1.53824235780434,1.65244020417494,1.41900732895289,1.63202209833511,1.27907658065271,1.23839338051386,1.75339612635289,1.89470636351942,1.2099364935448,1.30729073897565,1.39469297876402
Dec 2000,1.54755997261267,1.55800381277787,1.67655466085325,1.43563529981223,1.6405296961982,1.3046548117984,1.24856574114696,1.77430834050589,1.91532939251582,1.21416789286645,1.31205290191361,1.42355010803401
Jan 2001,1.54886773543807,1.55876770075691,1.6650816156846,1.42592273167721,1.64171985687241,1.29241972388827,1.24831237761651,1.76786103559045,1.92344672715339,1.21221558436898,1.30892642780591,1.40490162959894
Feb 2001,1.56093242668766,1.57155340225418,1.67456842655335,1.44801145277113,1.65670536804142,1.30225560402659,1.24371143016146,1.78540945973417,1.92257887267597,1.22754026816588,1.3191013899512,1.41666479639329
Mar 2001,1.57243707736024,1.58360750573331,1.69727755070754,1.45533309656068,1.67196707556456,1.31237604410675,1.25615161530612,1.80068072021188,1.95185468579843,1.23417194433416,1.31955416789656,1.43812632333358
Apr 2001,1.59510030778394,1.60600920265814,1.71888395376039,1.47226433903825,1.69941304393196,1.32523906760257,1.2785800254422,1.82530081936258,1.97366557574207,1.22596767168857,1.33400428185635,1.46210643675653
May 2001,1.61506047729761,1.62613882538807,1.74260367599083,1.49385095339475,1.7207695122916,1.34199980202133,1.28970704355194,1.84696006240853,2.00597945364609,1.24788527106282,1.34841066988248,1.47022762582466
Jun 2001,1.63600168442882,1.6474471186466,1.76852703849848,1.50604014506637,1.75346795443561,1.35164538515779,1.30541073130797,1.87791058140807,2.03740508424101,1.26742921509933,1.37594904403843,1.4968208527548
Jul 2001,1.65179157977897,1.66338055485846,1.78589470385156,1.51257733055663,1.76746478161534,1.36076400868226,1.31872608716212,1.89391366398989,2.0584346031966,1.27284111663712,1.38723306467693,1.50185400880489
Aug 2001,1.67208672389993,1.68441813860671,1.81646294574642,1.53851805300583,1.80054760423682,1.37693688045185,1.33057972510873,1.92047506140844,2.08341187597908,1.28177553142995,1.39105652452288,1.52775959747174
Sep 2001,1.6895325786379,1.70148182871963,1.84150128728131,1.54924345482732,1.8237683267907,1.38084953411763,1.34747972336363,1.93479480319874,2.11406029840056,1.28921431750156,1.4134388582966,1.54351507449672
Oct 2001,1.70053038757741,1.71336048593545,1.85680814342897,1.56530917294682,1.8379280451145,1.39648560573435,1.35829708108469,1.9577731212513,2.12227519051797,1.29160798811804,1.41150358044997,1.55791078981774
Nov 2001,1.7122413574247,1.72517683943658,1.87922295522859,1.58170966161608,1.85007524847238,1.40610493045642,1.36335839255307,1.97498077380623,2.14121940135541,1.31025023131631,1.42611682020039,1.57402334076577
Dec 2001,1.73924741555729,1.75241356813337,1.91510938697847,1.5989587563612,1.87475513843365,1.42853453472578,1.39277115121034,1.9984390650155,2.17226616239613,1.3288016967593,1.44364542587216,1.60572919890281
Jan 2002,1.73934709994177,1.75268723489575,1.90188420347607,1.59404338188362,1.88313766423156,1.42826906930517,1.38835019304234,1.99699395475431,2.161527414357,1.32397194510924,1.43831040618159,1.59222153105231
Feb 2002,1.75500595904249,1.76841746900522,1.92309518905907,1.60959493843464,1.8995988114222,1.43812380393585,1.39621624698019,2.0096401340756,2.17824898840194,1.34372298521148,1.46108904279321,1.61979313906703
Mar 2002,1.779363847349,1.79304973126565,1.95724292483381,1.63212813852996,1.93926581759005,1.45590413020555,1.42370748453014,2.04078066085024,2.2058456950969,1.36000740713876,1.4792320706091,1.65984033870962
Apr 2002,1.81341437358024,1.82712712501068,1.99423864840621,1.66842830432487,1.96590856114496,1.4760808123516,1.44460116949208,2.07098189041039,2.24296256633532,1.38122597309397,1.49531434645518,1.68791416135074
May 2002,1.84832070997678,1.86221432628159,2.03194491100551,1.69744486631178,2.0124989337432,1.51876399823546,1.48463396612536,2.11150500952513,2.2801002982138,1.42413226021923,1.53063258533345,1.72356599257836
Jun 2002,1.89833388734412,1.91259603219223,2.08812502968383,1.74888237280034,2.07094679454666,1.54691831241062,1.53463665425233,2.15972529569604,2.33727206209336,1.45520822557757,1.58272474330208,1.77905103988797
Jul 2002,1.92626894249736,1.94050354809549,2.12975245131817,1.77395932284663,2.11089936839163,1.5620181774372,1.5510597483613,2.1907516401015,2.3618721817087,1.47325681330109,1.59641169034006,1.81008721883843
Aug 2002,1.96785712185301,1.98164072543452,2.17583889776443,1.81260244457462,2.17262569480492,1.59352681447878,1.58766195050959,2.23716906728479,2.41029831856873,1.50236569756363,1.65255442470121,1.85952295918325
Sep 2002,1.99613126199515,2.01120116919071,2.21668469287135,1.84879526081177,2.21372868631192,1.61530849783321,1.60857205501267,2.27031991160757,2.43573657958592,1.5368527609325,1.65428067307361,1.90661399655513
Oct 2002,2.02414794377666,2.03926332632407,2.25517617268743,1.87778401921751,2.24607664470264,1.63649102655367,1.62653141488328,2.30288345692088,2.4670466927077,1.56466074809625,1.67928129892917,1.92915675038334
Nov 2002,2.05298974545984,2.06834630375792,2.2891137400811,1.91891437055612,2.28572774125338,1.65947817307753,1.67089321750605,2.33877958350187,2.49764411634814,1.60742520939535,1.71766719515148,1.97899697249931
Dec 2002,2.09334663764229,2.108793916088,2.33520429919196,1.95358848667749,2.32194674974199,1.70154303077256,1.71371861465921,2.37736883713625,2.53317238493449,1.63882049938887,1.74927760556151,2.01425696690774
Jan 2003,2.10054337431155,2.11580696521903,2.34539391862023,1.96331185036081,2.33148183580231,1.69723259519144,1.70905675598532,2.38544340120713,2.53985931203196,1.63586005777072,1.75261758461538,2.02570210844204
Feb 2003,2.12539182361942,2.14046490014248,2.37412904507345,1.98470960989107,2.35666081211101,1.72897905884788,1.73414985827798,2.40961185310174,2.56047392541643,1.64419258999271,1.79047425181718,2.06330035514574
